fecha_jornada;jornada;partido;equipo_local;marcador_local;equipo_visitante;marcador_visitante;resultado
domingo 2 de septiembre de 2018;3;7;Elche;0;Reus Deport.;2;2
domingo 2 de septiembre de 2018;3;10;Tenerife;2;Deportivo;2;X
domingo 2 de septiembre de 2018;3;8;R. Zaragoza;1;Las Palmas;1;X
domingo 2 de septiembre de 2018;3;11;C. Gimnastic;0;Rayo Majadahonda;1;2
domingo 2 de septiembre de 2018;3;12;Sporting de Gijón;2;Extremadura;0;1
domingo 2 de septiembre de 2018;3;13;Granada;2;Osasuna;0;1
domingo 2 de septiembre de 2018;3;14;Albacete;3;Córdoba;0;1
domingo 2 de septiembre de 2018;3;9;Cádiz;1;R. Oviedo;1;X
domingo 2 de septiembre de 2018;3;15;Real Madrid;4;Leganés;1;M1
domingo 28 de octubre de 2018;16;2;Athletic de Bilbao;0;Valencia;0;X
domingo 28 de octubre de 2018;16;4;Levante;2;Leganés;0;1
domingo 28 de octubre de 2018;16;1;Girona;2;Rayo Vallecano;1;1
domingo 28 de octubre de 2018;16;5;Atlético de Madrid;2;Real Sociedad;0;1
domingo 28 de octubre de 2018;16;3;Celta;4;Eibar;0;1
domingo 28 de octubre de 2018;16;6;Getafe;2;Betis;0;1
domingo 28 de octubre de 2018;16;7;Alavés;2;Villarreal;1;1
domingo 28 de octubre de 2018;16;8;Sevilla;2;Huesca;1;1
domingo 28 de octubre de 2018;16;9;Granada;1;Almería;0;1
domingo 28 de octubre de 2018;16;11;Tenerife;3;Alcorcón;2;1
domingo 28 de octubre de 2018;16;10;Mallorca;2;Las Palmas;2;X
domingo 28 de octubre de 2018;16;12;Lugo;1;Cádiz;2;2
domingo 28 de octubre de 2018;16;14;Elche;2;R. Zaragoza;0;1
domingo 28 de octubre de 2018;16;15;Barcelona;5;Real Madrid;1;M1
miércoles 31 de octubre de 2018;17;1;Sant Andreu;0;Atlético de Madrid;1;2
miércoles 31 de octubre de 2018;17;3;Racing Ferrol;0;Betis;1;2
miércoles 31 de octubre de 2018;17;2;Cultural Leonesa;0;Barcelona;1;2
domingo 28 de octubre de 2018;16;13;C. Gimnastic;2;R. Oviedo;1;1
miércoles 31 de octubre de 2018;17;5;Mallorca;1;Valladolid;2;2
miércoles 31 de octubre de 2018;17;4;Villanovense;0;Sevilla;0;X
